Year,Charge All,Charge 4-year,Charge 2-year,Tuition All,Tuition 4-year,Tuition 2-year,Dorm All,Dorm 4-year,Dorm 2-year,Board All,Board 4-year,Board 2-year
2003-04 ,12953.479957475174,15505.371490149744,6704.951421728967,6608.017678168756,9028.816729585713,2174.481686488657,3359.2534291932584,3448.1572574829625,2208.0922820091014,2986.2088501131598,3028.397503081069,2322.3774532312086
2004-05 ,13793.283172749743,16509.626539868907,7095.268345276168,7122.10486242279,9705.853110382339,2337.854882039956,3571.5429540257737,3662.0118854462103,2353.6353677041516,3099.63535630118,3141.7615440403565,2403.7780955320604
2005-06 ,14633.782707733295,17451.411922297655,7235.802033362206,7601.4982520995345,10278.85933432031,2416.889420182923,3810.0637452696815,3904.843034234124,2410.791581091451,3222.2207103640794,3267.709553743223,2408.121032087833
2006-07 ,15485.5630016399,18472.62606048994,7466.856856682776,8093.013354138638,10930.695048064532,2495.958136737793,4018.5296120495254,4116.037197258733,2527.941072920173,3374.020035451738,3425.893815166676,2442.95764702481
2007-08 ,16227.39115542459,19364.371033448988,7637.1678743081375,8480.061648156608,11454.965114393357,2516.0032313524416,4213.378339285375,4316.717181825303,2634.2191665930723,3533.9511679826073,3592.688737230329,2486.9454763626236
2008-09 ,17045.072670618803,20361.325851611447,8218.86143018968,8892.214382001253,12045.665303706199,2616.982346065597,4445.869954582391,4557.021005875648,2782.0042950900047,3706.9883340351585,3758.639542029599,2819.8747890340787
2009-10 ,17649.782444104716,21125.842096974586,8540.957333969576,9134.57825327453,12404.140141432754,2923.1975403068154,4658.100979131208,4784.630498204489,2993.8092944476225,3857.103211698976,3937.0714573373425,2623.9504992151383
2010-11 ,18475.358212355943,22073.785308760547,8868.161478539016,9574.953287751516,12945.422891531325,3059.651545426689,4877.745047947109,5019.913971587459,3074.022076523329,4022.65987665732,4108.448445641764,2734.4878565889976
2011-12 ,19401.302503068517,23010.639081490786,9346.577878679092,10178.587779513298,13571.989220521968,3244.166435397291,5084.910007711529,5223.928985235208,3201.1678383687877,4137.80471584369,4214.720875733614,2901.2436049130138
2012-13 ,20232.9976359393,23870.556950844242,9573.181892406588,10681.054267436284,14099.410555989722,3321.5128708985176,5295.766101413107,5433.420039652077,3340.207936859584,4256.177267089908,4337.726355202443,2911.4610846484866
2013-14 ,20994.828307194643,24700.723228977222,9891.065200278817,11072.85066701727,14562.538031240194,3369.0763659537024,5519.971995952055,5653.803085688105,3541.3818536462118,4402.005644225321,4484.382112048924,2980.606980678904
2014-15 ,21728.613493569523,25408.82228052474,10152.629843790788,11487.340682043674,14956.779315462485,3389.243750185307,5718.653202453472,5850.472693039946,3654.712334875157,4522.619609072374,4601.570272022308,3108.6737587303246
2015-16 ,22438.89174333711,26132.361214659824,10407.433058936176,11861.804652402383,15342.950775396597,3411.6873655784348,5915.115524095922,6042.530053466072,3849.1520778094095,4661.9715668388035,4746.880385797153,3146.593615548332
2016-17 ,23091.13980521928,26592.24355438323,10597.480526394716,12218.922306587663,15511.775185143199,3518.860055897774,6106.666586129408,6230.798852787889,3931.72563866374,4765.55091250221,4849.669516452142,3146.894831833202
2017-18 ,23832.70682120581,27356.530673679285,10703.653760564754,12612.914604317317,15923.190427666903,3537.422377094817,6320.576604092983,6451.172895787168,3926.455686295154,4899.215612795512,4982.167350225213,3239.775697174783
2018-19 ,24619.07545580307,28121.2648027345,11389.807725095518,13011.776185093506,16315.932681546114,3562.9029445714655,6542.306734498546,6674.452851159448,4124.750776867419,5064.99253621102,5130.879270028939,3702.154003656632
2019-20,25279.830109195223,28774.00495410085,11382.86769290045,13359.762496402804,16646.458769235654,3621.6720299086955,6743.367718313869,6877.842697864465,4159.878545086473,5176.699894478551,5249.703487000731,3601.317117905282
2020-21,25906.33240201731,29029.340042452168,11887.256054931251,13673.687469436949,16614.41191082025,3782.0268699948347,6897.273447478624,7012.398984111084,4434.5988200868815,5335.371485101734,5402.529147520834,3670.630364849533
2021-22,26857.53496776872,29986.791332034983,11962.452019796101,14306.279920493307,17251.598604095572,3859.773472380332,7096.553700149154,7212.188765535582,4463.033595960999,5454.701347126258,5523.003962403828,3639.6449514547694
2022-23,27672.938427574565,30883.629900076223,12300.242524268755,14687.57236366801,17709.00759364413,3884.5556313699385,7336.521624568345,7455.966587598763,4600.947138403068,5648.844439338209,5718.655718833327,3814.7397544957494
1963-64 ,912.4578834587087,928.6108490774038,630,234,243.33584473107277,97,249.77909949861453,253.42434382092017,172,428.6787839600942,431.85066052541083,361
1968-69 ,1111.5079209846963,1142.9271984972274,883,295,321.0023619879182,170,334.09813095956724,337.03393368467067,278,482.4097900251289,484.8909028246386,435
1969-70 ,1196.559797970749,1237.9105936566718,951,323,358.35483154316364,178,365.91677886877966,369.3701164486972,308,507.64301910196957,510.185645664811,465
1970-71 ,1276.045905983774,1325.9136566863872,998,351,393.6885582256935,187,397.3488336307472,401.08484411039075,338,527.6970723530268,531.1402543503029,473
1971-72 ,1347.001886700471,1404.7964900660063,1073,376,427.76161675450936,192,425.7594732484922,429.7652570737799,366,545.2424134519787,547.2696162377171,515
1972-73 ,1452.3766794741214,1553.464399524127,1197,407,502.6300446365317,233,471.3443855422192,476.2633605148638,398,574.0322939319021,574.5709943727315,566
1973-74 ,1514.9596405669,1596.0438298305567,1274,438,513.576855690938,274,478.5207383156251,483.49573421354654,409,598.4389022512748,598.9712399260721,591
1974-75 ,1561.1909671641715,1646.617755472352,1339,432,512.4164446468654,277,505.18239855753484,511.23606519146267,424,624.0085686066368,622.9652456340239,638
1975-76 ,1662.969270593709,1779.53885339538,1386,433,542.1454266207993,245,543.3585480275219,551.8165435331737,442,686.6107225661873,685.5768832414071,699
1976-77 ,1788.982773048081,1935.058805812712,1490.5741469987088,478.6530515931748,616.5515373761677,283.4344144135052,582.4972431682868,591.8237971301855,464.81744432387745,727.8324782866197,726.6834713063588,742.322288261326
1977-78 ,1887.5672362075393,2037.774750003695,1589.597470922695,511.58239337082745,654.6809630431176,306.4432882151327,620.8912689426988,631.2047937309557,485.88200397402113,755.093573894013,751.8889932296217,797.2721787335412
1978-79 ,1993.5880591952923,2144.7747848961426,1690.8732807334786,542.7442929812661,687.6744751999132,327.24926779281196,654.8858012909704,664.0437020160555,526.8755519975208,795.957964923056,793.056607680174,836.7484609431459
1979-80 ,2164.9584652094168,2327.382998865136,1821.510260563859,583.4004466049142,737.5483508191106,354.811218694241,715.0147932435227,725.1928453770062,573.7588583511622,866.5432253609798,864.6418026690191,892.9401835184559
1980-81 ,2373.354522009679,2550.3416661808014,2027.0690892426019,634.883777758912,803.7472780209512,391.12658748337657,798.6697846746216,810.9713899741942,641.7945341791495,939.8009595761455,935.6229981856563,994.1479675800757
1981-82 ,2662.7674771656248,2870.846297504973,2223.954732783421,713.7828051875854,909.4993543900912,434.4960980851198,909.4903478008712,925.4835562740421,703.335453347813,1039.494324177168,1035.8633868408397,1086.1231813504883
1982-83 ,2944.6817466566836,3196.0964392725446,2389.5526529362824,798.193282834311,1031.4331646133767,473,1010.2362268476227,1030.3477453384621,755.0399324294677,1136.2522369747498,1134.3155293207055,1161.5127205068147
1983-84 ,3155.9610541417464,3432.9561957018377,2533.8665408449997,891.3975170709698,1147.7272120977123,528,1086.954557522096,1109.7467239921345,800.7363700721585,1177.6089795486807,1175.4822596119914,1205.130170772841
1984-85 ,3408.0355800377647,3681.5235499825567,2806.9648920738136,970.7733157203895,1227.8816951485742,584,1195.853003171726,1216.7279660015804,920.6402538645218,1241.4092611456492,1236.9138888324026,1302.324638209292
1985-86\5\ ,3571.276426224817,3858.506095190151,2981,1044.7171853444236,1317.6010531502936,641,1241.642307274844,1263.0049538472747,960,1284.9169336055497,1277.9000881925826,1380
1986-87 ,3805.008352895623,4137.675551753233,2988.7802843106506,1106.1782936770178,1413.6787668837444,660.40920577003,1300.895248447543,1322.644189870583,978.9425071120492,1397.934810771062,1401.3525949989053,1349.4285714285716
1987-88 ,4049.9158155951045,4403.104303582603,3065.59044246568,1218.267897539785,1537.3681333041416,705.8473337749614,1378.0495980240673,1409.6130107360264,942.8757040482462,1453.5983200312521,1456.1231595424354,1416.8674046424724
1988-89 ,4274.167350962746,4678.232518620085,3182.765146566976,1284.709835046331,1646.1881021826243,730.025178215988,1456.6282165900575,1495.829181246637,964.6267148897983,1532.8292993263574,1536.215235190824,1488.1132534611897
1989-90 ,4503.826207314125,4975.284848732143,3299.2032174224355,1356.0032755799439,1779.6090329427661,756.0570634956362,1513.2949581482508,1557.2174401259224,961.9554822549044,1634.5279735859308,1638.4583756634536,1581.190671671895
1990-91 ,4756.870561486865,5242.584405527328,3467.4653370340566,1453.9661074679877,1888.1291129947613,824.098973892478,1611.9940482882862,1656.5302778098442,1049.539290571125,1690.9104057305908,1697.9250147227226,1593.827072570453
1991-92 ,5138.359790168643,5693.283011373018,3622.732275411374,1627.9524514466427,2116.8928518669395,936.3305222918401,1730.7912755738091,1784.62221731734,1074.2613168267774,1779.6160631481907,1791.7679421887383,1612.1404362927567
1992-93 ,5378.556372723979,6019.887336036818,3798.8259952761573,1781.5213712340624,2349.1085751858122,1025.1925319344082,1756.0803377017846,1816.3438683853674,1106.0713512154166,1840.9546637881313,1854.4348924656385,1667.5621121263327
1993-94 ,5694.399063789634,6365.137343568744,3995.830263771843,1942.0645023250418,2536.5823075373164,1124.6612922165552,1872.6953603501643,1933.8050378392998,1189.800177795737,1879.639201114428,1894.7499981921271,1681.368793759551
